"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-06-15","2003-06-21",2003,163,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-06-22","2003-06-28",2003,130,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-06-29","2003-07-05",2003,143,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-07-06","2003-07-12",2003,126,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-07-13","2003-07-19",2003,76,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-07-20","2003-07-26",2003,74,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-07-27","2003-08-02",2003,59,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-08-03","2003-08-09",2003,61,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-08-10","2003-08-16",2003,60,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-08-17","2003-08-23",2003,81,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-08-24","2003-08-30",2003,91,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-08-31","2003-09-06",2003,49,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-09-07","2003-09-13",2003,77,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-09-14","2003-09-20",2003,60,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-09-21","2003-09-27",2003,76,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-09-28","2003-10-04",2003,65,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-10-05","2003-10-11",2003,73,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-10-12","2003-10-18",2003,66,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-10-19","2003-10-25",2003,73,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-10-26","2003-11-01",2003,95,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-11-02","2003-11-08",2003,98,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-11-09","2003-11-15",2003,93,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-11-16","2003-11-22",2003,88,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-11-23","2003-11-29",2003,57,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-11-30","2003-12-06",2003,66,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-12-07","2003-12-13",2003,94,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-12-14","2003-12-20",2003,82,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-12-21","2003-12-27",2003,68,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2003-12-28","2004-01-03",2003,50,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-02"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-01-01","2004-12-31",2004,9459,"Total","Admin0","Year","TYCHO-ALL-19242017-SV_DF01-00"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-01-04","2004-01-10",2004,80,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-01-11","2004-01-17",2004,82,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-01-18","2004-01-24",2004,52,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-01-25","2004-01-31",2004,79,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-02-01","2004-02-07",2004,66,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-02-08","2004-02-14",2004,60,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-02-15","2004-02-21",2004,61,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-02-22","2004-02-29",2004,53,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-02-29","2004-03-06",2004,62,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-03-07","2004-03-13",2004,56,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-03-14","2004-03-20",2004,34,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-03-21","2004-03-27",2004,41,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-03-28","2004-04-03",2004,41,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-04-04","2004-04-10",2004,37,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-04-11","2004-04-17",2004,99,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-04-18","2004-04-24",2004,80,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-04-25","2004-05-01",2004,87,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-05-02","2004-05-08",2004,135,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-05-09","2004-05-15",2004,116,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
"SINGAPORE",NA,NA,"SINGAPORE","SGP",222,"SGP",NA,"2004-05-16","2004-05-22",2004,91,"Confirmed","Admin0","Week","MOH-SGP-20002011-Y01-03"
