,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
94,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-10-05,2003-10-11,2003,73,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
95,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-10-12,2003-10-18,2003,66,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
96,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-10-19,2003-10-25,2003,73,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
97,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-10-26,2003-11-01,2003,95,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
98,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-11-02,2003-11-08,2003,98,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
99,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-11-09,2003-11-15,2003,93,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
100,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-11-16,2003-11-22,2003,88,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
101,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-11-23,2003-11-29,2003,57,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
102,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-11-30,2003-12-06,2003,66,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
103,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-12-07,2003-12-13,2003,94,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
104,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-12-14,2003-12-20,2003,82,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
105,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-12-21,2003-12-27,2003,68,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
106,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2003-12-28,2004-01-03,2003,50,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-02
108,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-01-04,2004-01-10,2004,80,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
109,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-01-11,2004-01-17,2004,82,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
110,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-01-18,2004-01-24,2004,52,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
111,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-01-25,2004-01-31,2004,79,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
112,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-01,2004-02-07,2004,66,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
113,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-08,2004-02-14,2004,60,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
114,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-15,2004-02-21,2004,61,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
115,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-22,2004-02-29,2004,53,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
116,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-02-29,2004-03-06,2004,62,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
117,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-07,2004-03-13,2004,56,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
118,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-14,2004-03-20,2004,34,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
119,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-21,2004-03-27,2004,41,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
120,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-03-28,2004-04-03,2004,41,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
121,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-04-04,2004-04-10,2004,37,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
